NOMBRE EST.,BIC. DISPONIBLE,DIR.
W 52 St & 11 Ave,7,W 52 St & 11 Ave
Franklin St & W Broadway,33,Franklin St & W Broadway
Atlantic Ave & Fort Greene Pl,40,Atlantic Ave & Fort Greene Pl
W 17 St & 8 Ave,19,W 17 St & 8 Ave
Park Ave & St Edwards St,4,Park Ave & St Edwards St
Lexington Ave & Classon Ave,2,Lexington Ave & Classon Ave
Barrow St & Hudson St,9,Barrow St & Hudson St
MacDougal St & Prince St,21,MacDougal St & Prince St
E 56 St & Madison Ave,30,E 56 St & Madison Ave
Clinton St & Joralemon St,4,Clinton St & Joralemon St
Nassau St & Navy St,12,Nassau St & Navy St
Hudson St & Reade St,7,Hudson St & Reade St
Greenwich St & Warren St,15,Greenwich St & Warren St
E 2 St & Avenue C,2,E 2 St & Avenue C
Cleveland Pl & Spring St,11,Cleveland Pl & Spring St
Warren St & Church St,26,Warren St & Church St
E 40 St & 5 Ave,17,E 40 St & 5 Ave
Henry St & Atlantic Ave,6,Henry St & Atlantic Ave
E 37 St & Lexington Ave,3,E 37 St & Lexington Ave
LaGuardia Pl & W 3 St,25,LaGuardia Pl & W 3 St
E 47 St & 2 Ave,10,E 47 St & 2 Ave
E 39 St & 3 Ave,23,E 39 St & 3 Ave
W 18 St & 6 Ave,34,W 18 St & 6 Ave
Broadway & W 49 St,7,Broadway & W 49 St
E 25 St & 1 Ave,9,E 25 St & 1 Ave
Liberty St & Broadway,20,Liberty St & Broadway
W 16 St & The High Line,3,W 16 St & The High Line
Columbia Heights & Cranberry St,10,Columbia Heights & Cranberry St
Old Fulton St,15,Old Fulton St
W 13 St & 7 Ave,10,W 13 St & 7 Ave
Spruce St & Nassau St,4,Spruce St & Nassau St
W 14 St & The High Line,17,W 14 St & The High Line
E 48 St & 3 Ave,10,E 48 St & 3 Ave
Great Jones St,17,Great Jones St
Cadman Plaza E & Tillary St,7,Cadman Plaza E & Tillary St
Cadman Plaza W & Pierrepont St,3,Cadman Plaza W & Pierrepont St
St Marks Pl & 2 Ave,6,St Marks Pl & 2 Ave
E 11 St & 2 Ave,1,E 11 St & 2 Ave
Bank St & Washington St,16,Bank St & Washington St
Willoughby St & Fleet St,13,Willoughby St & Fleet St
DeKalb Ave & S Portland Ave,3,DeKalb Ave & S Portland Ave
Carlton Ave & Flushing Ave,4,Carlton Ave & Flushing Ave
Fulton St & Rockwell Pl,26,Fulton St & Rockwell Pl
Willoughby Ave & Hall St,5,Willoughby Ave & Hall St
Myrtle Ave & St Edwards St,7,Myrtle Ave & St Edwards St
Perry St & Bleecker St,11,Perry St & Bleecker St
Laight St & Hudson St,12,Laight St & Hudson St
Harrison St & Hudson St,25,Harrison St & Hudson St
Lafayette St & Jersey St,35,Lafayette St & Jersey St
Mott St & Prince St,2,Mott St & Prince St
MacDougal St & Washington Sq,2,MacDougal St & Washington Sq
W 13 St & 5 Ave,13,W 13 St & 5 Ave
W 11 St & 6 Ave,6,W 11 St & 6 Ave
Lispenard St & Broadway,33,Lispenard St & Broadway
South St & Whitehall St,35,South St & Whitehall St
Broad St & Bridge St,25,Broad St & Bridge St
Johnson St & Gold St,13,Johnson St & Gold St
Washington Park,1,Washington Park
Maiden Ln & Pearl St,24,Maiden Ln & Pearl St
Stanton St & Chrystie St,10,Stanton St & Chrystie St
Avenue D & E 8 St,2,Avenue D & E 8 St
Broadway & W 36 St,1,Broadway & W 36 St
Howard St & Centre St,25,Howard St & Centre St
Adelphi St & Myrtle Ave,5,Adelphi St & Myrtle Ave
Lafayette Ave & Fort Greene Pl,20,Lafayette Ave & Fort Greene Pl
Washington Ave & Greene Ave,3,Washington Ave & Greene Ave
Duane St & Greenwich St,22,Duane St & Greenwich St
Concord St & Bridge St,10,Concord St & Bridge St
Peck Slip & Front St,23,Peck Slip & Front St
E 10 St & 5 Ave,20,E 10 St & 5 Ave
Grand Army Plaza & Central Park S,26,Grand Army Plaza & Central Park S
Kent Ave & S 11 St,4,Kent Ave & S 11 St
Greenwich Ave & 8 Ave,26,Greenwich Ave & 8 Ave
Broadway & E 14 St,10,Broadway & E 14 St
Monroe St & Classon Ave,6,Monroe St & Classon Ave
Lafayette St & E 8 St,10,Lafayette St & E 8 St
Division St & Bowery,27,Division St & Bowery
E 15 St & 3 Ave,6,E 15 St & 3 Ave
3 Ave & Schermerhorn St,21,3 Ave & Schermerhorn St
Shevchenko Pl & E 7 St,11,Shevchenko Pl & E 7 St
E 2 St & Avenue B,1,E 2 St & Avenue B
Mercer St & Spring St,21,Mercer St & Spring St
Broadway & Battery Pl,27,Broadway & Battery Pl
E 58 St & 3 Ave,19,E 58 St & 3 Ave
Cliff St & Fulton St,25,Cliff St & Fulton St
Canal St & Rutgers St,2,Canal St & Rutgers St
St James Pl & Oliver St,3,St James Pl & Oliver St
Murray St & West St,37,Murray St & West St
State St & Smith St,12,State St & Smith St
Norfolk St & Broome St,5,Norfolk St & Broome St
Allen St & E Houston St,5,Allen St & E Houston St
Washington Ave & Park Ave,22,Washington Ave & Park Ave
Cadman Plaza West & Montague St,18,Cadman Plaza West & Montague St
South St & Gouverneur Ln,23,South St & Gouverneur Ln
Fulton St & William St,32,Fulton St & William St
E 6 St & Avenue B,10,E 6 St & Avenue B
Fulton St & Broadway,23,Fulton St & Broadway
Leonard St & Church St,35,Leonard St & Church St
Cadman Plaza E & Red Cross Pl,17,Cadman Plaza E & Red Cross Pl
Clinton St & Tillary St,7,Clinton St & Tillary St
Lawrence St & Willoughby St,35,Lawrence St & Willoughby St
DeKalb Ave & Hudson Ave,32,DeKalb Ave & Hudson Ave
E 19 St & 3 Ave,1,E 19 St & 3 Ave
Vesey Pl & River Terrace,18,Vesey Pl & River Terrace
Watts St & Greenwich St,13,Watts St & Greenwich St
Greenwich St & N Moore St,11,Greenwich St & N Moore St
Reade St & Broadway,18,Reade St & Broadway
Pike St & Monroe St,1,Pike St & Monroe St
Cherry St,6,Cherry St
W 20 St & 7 Ave,17,W 20 St & 7 Ave
Washington Pl & Broadway,14,Washington Pl & Broadway
Sullivan St & Washington Sq,17,Sullivan St & Washington Sq
Old Slip & Front St,20,Old Slip & Front St
Avenue D & E 12 St,1,Avenue D & E 12 St
Clinton Ave & Flushing Ave,23,Clinton Ave & Flushing Ave
Monroe St & Bedford Ave,10,Monroe St & Bedford Ave
W 13 St & 6 Ave,18,W 13 St & 6 Ave
Bank St & Hudson St,2,Bank St & Hudson St
Greenwich St & W Houston St,22,Greenwich St & W Houston St
W Broadway & Spring St,30,W Broadway & Spring St
Clinton St & Grand St,1,Clinton St & Grand St
Front St & Maiden Ln,29,Front St & Maiden Ln
W 56 St & 6 Ave,30,W 56 St & 6 Ave
S Portland Ave & Hanson Pl,14,S Portland Ave & Hanson Pl
Emerson Pl & Myrtle Ave,16,Emerson Pl & Myrtle Ave
Bayard St & Baxter St,6,Bayard St & Baxter St
E 11 St & Broadway,4,E 11 St & Broadway
Christopher St & Greenwich St,4,Christopher St & Greenwich St
E 47 St & Park Ave,24,E 47 St & Park Ave
William St & Pine St,9,William St & Pine St
Allen St & Hester St,2,Allen St & Hester St
Broadway & W 37 St,2,Broadway & W 37 St
West Thames St,3,West Thames St
Lafayette Ave & Classon Ave,9,Lafayette Ave & Classon Ave
Fulton St & Grand Ave,11,Fulton St & Grand Ave
Clinton Ave & Myrtle Ave,11,Clinton Ave & Myrtle Ave
E 53 St & Lexington Ave,22,E 53 St & Lexington Ave
Carmine St & 6 Ave,26,Carmine St & 6 Ave
Washington Pl & 6 Ave,1,Washington Pl & 6 Ave
Franklin Ave & Myrtle Ave,13,Franklin Ave & Myrtle Ave
Willoughby Ave & Walworth St,16,Willoughby Ave & Walworth St
Mercer St & Bleecker St,12,Mercer St & Bleecker St
John St & William St,32,John St & William St
6 Ave & Canal St,42,6 Ave & Canal St
W 31 St & 7 Ave,39,W 31 St & 7 Ave
W 4 St & 7 Ave S,33,W 4 St & 7 Ave S
University Pl & E 14 St,35,University Pl & E 14 St
Greenwich Ave & Charles St,20,Greenwich Ave & Charles St
Fulton St & Washington Ave,11,Fulton St & Washington Ave
E 55 St & 2 Ave,5,E 55 St & 2 Ave
Centre St & Worth St,36,Centre St & Worth St
Centre St & Chambers St,10,Centre St & Chambers St
W 26 St & 10 Ave,10,W 26 St & 10 Ave
Broadway & Berry St,1,Broadway & Berry St
Duffield St & Willoughby St,23,Duffield St & Willoughby St
Clark St & Henry St,17,Clark St & Henry St
Jay St & Tech Pl,15,Jay St & Tech Pl
E 5 St & Avenue C,3,E 5 St & Avenue C
E 9 St & Avenue C,8,E 9 St & Avenue C
Bond St & Schermerhorn St,21,Bond St & Schermerhorn St
Lefferts Pl & Franklin Ave,3,Lefferts Pl & Franklin Ave
Atlantic Ave & Furman St,13,Atlantic Ave & Furman St
Lafayette Ave & St James Pl,13,Lafayette Ave & St James Pl
Pitt St & Stanton St,4,Pitt St & Stanton St
Allen St & Rivington St,3,Allen St & Rivington St
Broadway & E 22 St,26,Broadway & E 22 St
E 2 St & 2 Ave,12,E 2 St & 2 Ave
Washington St & Gansevoort St,18,Washington St & Gansevoort St
Hicks St & Montague St,22,Hicks St & Montague St
Henry St & Poplar St,5,Henry St & Poplar St
Market St & Cherry St,3,Market St & Cherry St
DeKalb Ave & Skillman St,2,DeKalb Ave & Skillman St
Suffolk St & Stanton St,3,Suffolk St & Stanton St
E 6 St & Avenue D,3,E 6 St & Avenue D
Forsyth St & Canal St,4,Forsyth St & Canal St
Pearl St & Anchorage Pl,13,Pearl St & Anchorage Pl
Pearl St & Hanover Square,24,Pearl St & Hanover Square
Cumberland St & Lafayette Ave,3,Cumberland St & Lafayette Ave
Barclay St & Church St,18,Barclay St & Church St
Front St & Gold St,12,Front St & Gold St
Carlton Ave & Park Ave,1,Carlton Ave & Park Ave
Clermont Ave & Park Ave,10,Clermont Ave & Park Ave
W 59 St & 10 Ave,5,W 59 St & 10 Ave
West St & Chambers St,19,West St & Chambers St
Bus Slip & State St,32,Bus Slip & State St
E 3 St & 1 Ave,11,E 3 St & 1 Ave
York St & Jay St,23,York St & Jay St
E 7 St & Avenue A,1,E 7 St & Avenue A
9 Ave & W 18 St,6,9 Ave & W 18 St
W 21 St & 6 Ave,34,W 21 St & 6 Ave
Hancock St & Bedford Ave,8,Hancock St & Bedford Ave
Macon St & Nostrand Ave,8,Macon St & Nostrand Ave
St Marks Pl & 1 Ave,1,St Marks Pl & 1 Ave
E 4 St & 2 Ave,6,E 4 St & 2 Ave
E 45 St & 3 Ave,6,E 45 St & 3 Ave
E 52 St & 2 Ave,5,E 52 St & 2 Ave
W 27 St & 7 Ave,24,W 27 St & 7 Ave
Bedford Ave & S 9 St,2,Bedford Ave & S 9 St
Broadway & W 24 St,43,Broadway & W 24 St
E 10 St & Avenue A,21,E 10 St & Avenue A
W 24 St & 7 Ave,12,W 24 St & 7 Ave
8 Ave & W 52 St,6,8 Ave & W 52 St
W 37 St & 10 Ave,1,W 37 St & 10 Ave
W 52 St & 9 Ave,1,W 52 St & 9 Ave
W 49 St & 8 Ave,6,W 49 St & 8 Ave
W 22 St & 8 Ave,13,W 22 St & 8 Ave
E 51 St & 1 Ave,2,E 51 St & 1 Ave
E 53 St & Madison Ave,14,E 53 St & Madison Ave
Broadway & W 58 St,21,Broadway & W 58 St
11 Ave & W 27 St,23,11 Ave & W 27 St
W 20 St & 11 Ave,25,W 20 St & 11 Ave
S 4 St & Wythe Ave,18,S 4 St & Wythe Ave
E 20 St & 2 Ave,2,E 20 St & 2 Ave
W 22 St & 10 Ave,13,W 22 St & 10 Ave
9 Ave & W 16 St,16,9 Ave & W 16 St
Broadway & W 41 St,1,Broadway & W 41 St
W 25 St & 6 Ave,14,W 25 St & 6 Ave
Dean St & 4 Ave,23,Dean St & 4 Ave
W 20 St & 8 Ave,8,W 20 St & 8 Ave
Grand St & Havemeyer St,24,Grand St & Havemeyer St
Rivington St & Chrystie St,4,Rivington St & Chrystie St
5 Ave & E 29 St,23,5 Ave & E 29 St
E 16 St & Irving Pl,16,E 16 St & Irving Pl
E 31 St & 3 Ave,1,E 31 St & 3 Ave
W 41 St & 8 Ave,42,W 41 St & 8 Ave
11 Ave & W 41 St,3,11 Ave & W 41 St
9 Ave & W 45 St,11,9 Ave & W 45 St
S 3 St & Bedford Ave,11,S 3 St & Bedford Ave
W 15 St & 7 Ave,3,W 15 St & 7 Ave
E 12 St & 3 Ave,3,E 12 St & 3 Ave
W 44 St & 5 Ave,11,W 44 St & 5 Ave
W 37 St & 5 Ave,1,W 37 St & 5 Ave
Broadway & W 29 St,4,Broadway & W 29 St
E 20 St & FDR Drive,8,E 20 St & FDR Drive
W 39 St & 9 Ave,14,W 39 St & 9 Ave
10 Ave & W 28 St,3,10 Ave & W 28 St
8 Ave & W 33 St,36,8 Ave & W 33 St
E 24 St & Park Ave S,19,E 24 St & Park Ave S
W 33 St & 7 Ave,46,W 33 St & 7 Ave
W 45 St & 6 Ave,16,W 45 St & 6 Ave
W 26 St & 8 Ave,12,W 26 St & 8 Ave
W 47 St & 10 Ave,2,W 47 St & 10 Ave
E 16 St & 5 Ave,21,E 16 St & 5 Ave
Broadway & W 60 St,12,Broadway & W 60 St
FDR Drive & E 35 St,26,FDR Drive & E 35 St
Henry St & Grand St,1,Henry St & Grand St
E 20 St & Park Ave,27,E 20 St & Park Ave
1 Ave & E 15 St,3,1 Ave & E 15 St
6 Ave & W 33 St,6,6 Ave & W 33 St
W 46 St & 11 Ave,11,W 46 St & 11 Ave
9 Ave & W 22 St,34,9 Ave & W 22 St
W 51 St & 6 Ave,31,W 51 St & 6 Ave
E 14 St & Avenue B,4,E 14 St & Avenue B
W 29 St & 9 Ave,8,W 29 St & 9 Ave
12 Ave & W 40 St,14,12 Ave & W 40 St
W 43 St & 10 Ave,10,W 43 St & 10 Ave
E 47 St & 1 Ave,2,E 47 St & 1 Ave
Pershing Square South,1,Pershing Square South
E 39 St & 2 Ave,4,E 39 St & 2 Ave
Pershing Square North,23,Pershing Square North
W 52 St & 5 Ave,24,W 52 St & 5 Ave
8 Ave & W 31 St,35,8 Ave & W 31 St
E 51 St & Lexington Ave,23,E 51 St & Lexington Ave
W 38 St & 8 Ave,13,W 38 St & 8 Ave
W 43 St & 6 Ave,19,W 43 St & 6 Ave
W 34 St & 11 Ave,9,W 34 St & 11 Ave
E 33 St & 5 Ave,1,E 33 St & 5 Ave
E 33 St & 2 Ave,2,E 33 St & 2 Ave
2 Ave & E 31 St,6,2 Ave & E 31 St
W 42 St & 8 Ave,31,W 42 St & 8 Ave
11 Ave & W 59 St,3,11 Ave & W 59 St
Forsyth St & Broome St,2,Forsyth St & Broome St
S 5 Pl & S 4 St,12,S 5 Pl & S 4 St
Broadway & W 39 St,11,Broadway & W 39 St
Water - Whitehall Plaza,24,Water - Whitehall Plaza
1 Ave & E 30 St,2,1 Ave & E 30 St
Lexington Ave & E 24 St,8,Lexington Ave & E 24 St
Metropolitan Ave & Bedford Ave,11,Metropolitan Ave & Bedford Ave
Lexington Ave & E 29 St,2,Lexington Ave & E 29 St
E 23 St & 1 Ave,4,E 23 St & 1 Ave
E 30 St & Park Ave S,14,E 30 St & Park Ave S
Front St & Washington St,15,Front St & Washington St
Sands St & Navy St,7,Sands St & Navy St
Wythe Ave & Metropolitan Ave,8,Wythe Ave & Metropolitan Ave
1 Ave & E 18 St,7,1 Ave & E 18 St
6 Ave & Broome St,26,6 Ave & Broome St
Railroad Ave & Kay Ave,6,Railroad Ave & Kay Ave
Central Park S & 6 Ave,19,Central Park S & 6 Ave
Little West St & 1 Pl,13,Little West St & 1 Pl
E 27 St & 1 Ave,14,E 27 St & 1 Ave
E 60 St & York Ave,1,E 60 St & York Ave
E 55 St & Lexington Ave,10,E 55 St & Lexington Ave
South End Ave & Liberty St,7,South End Ave & Liberty St
Kingston Ave & Herkimer St,2,Kingston Ave & Herkimer St
Fulton St & Utica Ave,16,Fulton St & Utica Ave
Lewis Ave & Decatur St,6,Lewis Ave & Decatur St
Albany Ave & Fulton St,3,Albany Ave & Fulton St
Marcus Garvey Blvd & Macon St,8,Marcus Garvey Blvd & Macon St
Putnam Ave & Nostrand Ave,7,Putnam Ave & Nostrand Ave
Putnam Ave & Throop Ave,1,Putnam Ave & Throop Ave
Lewis Ave & Madison St,8,Lewis Ave & Madison St
Marcy Ave & Lafayette Ave,8,Marcy Ave & Lafayette Ave
Greene Ave & Throop Ave,2,Greene Ave & Throop Ave
Greene Ave & Nostrand Ave,1,Greene Ave & Nostrand Ave
Kosciuszko St & Nostrand Ave,5,Kosciuszko St & Nostrand Ave
Kosciuszko St & Tompkins Ave,2,Kosciuszko St & Tompkins Ave
Lewis Ave & Kosciuszko St,5,Lewis Ave & Kosciuszko St
Pulaski St & Marcus Garvey Blvd,2,Pulaski St & Marcus Garvey Blvd
Throop Ave & Myrtle Ave,2,Throop Ave & Myrtle Ave
Myrtle Ave & Marcy Ave,3,Myrtle Ave & Marcy Ave
Nostrand Ave & Myrtle Ave,9,Nostrand Ave & Myrtle Ave
Myrtle Ave & Lewis Ave,6,Myrtle Ave & Lewis Ave
Union Ave & Wallabout St,1,Union Ave & Wallabout St
Tompkins Ave & Hopkins St,4,Tompkins Ave & Hopkins St
Broadway & Whipple St,21,Broadway & Whipple St
Humboldt St & Varet St,15,Humboldt St & Varet St
Lorimer St & Broadway,14,Lorimer St & Broadway
Boerum St & Broadway,6,Boerum St & Broadway
Leonard St & Boerum St,16,Leonard St & Boerum St
Montrose Ave & Bushwick Ave,24,Montrose Ave & Bushwick Ave
Division Ave & Marcy Ave,5,Division Ave & Marcy Ave
Scholes St & Manhattan Ave,1,Scholes St & Manhattan Ave
Broadway & Roebling St,12,Broadway & Roebling St
Leonard St & Grand St,16,Leonard St & Grand St
S 4 St & Rodney St,3,S 4 St & Rodney St
Bushwick Ave & Powers St,8,Bushwick Ave & Powers St
Devoe St & Leonard St,10,Devoe St & Leonard St
Roebling St & N 4 St,15,Roebling St & N 4 St
Graham Ave & Conselyea St,19,Graham Ave & Conselyea St
Metropolitan Ave & Meeker Ave,34,Metropolitan Ave & Meeker Ave
Union Ave & Jackson St,8,Union Ave & Jackson St
Leonard St & Meeker Ave,5,Leonard St & Meeker Ave
N 8 St & Driggs Ave,31,N 8 St & Driggs Ave
Frost St & Meeker St,4,Frost St & Meeker St
Berry St & N 8 St,8,Berry St & N 8 St
N 6 St & Bedford Ave,19,N 6 St & Bedford Ave
Union Ave & N 12 St,9,Union Ave & N 12 St
N Henry St & Richardson St,1,N Henry St & Richardson St
Leonard St & Bayard St,4,Leonard St & Bayard St
Leonard St & Manhattan Ave,6,Leonard St & Manhattan Ave
N 12 St & Bedford Ave,11,N 12 St & Bedford Ave
Driggs Ave & Lorimer St,4,Driggs Ave & Lorimer St
N 11 St & Wythe Ave,6,N 11 St & Wythe Ave
Kent Ave & N 7 St,22,Kent Ave & N 7 St
N 15 St & Wythe Ave,3,N 15 St & Wythe Ave
Bedford Ave & Nassau Ave,15,Bedford Ave & Nassau Ave
Nassau Ave & Russell St,2,Nassau Ave & Russell St
Banker St & Meserole Ave,5,Banker St & Meserole Ave
Norman Ave & Leonard St,3,Norman Ave & Leonard St
Milton St & Franklin St,31,Milton St & Franklin St
Greenpoint Ave & Manhattan Ave,9,Greenpoint Ave & Manhattan Ave
India St & East River,11,India St & East River
India St & Manhattan Ave,4,India St & Manhattan Ave
Huron St & Franklin St,1,Huron St & Franklin St
Franklin St & Dupont St,5,Franklin St & Dupont St
McGuinness Blvd & Eagle St,3,McGuinness Blvd & Eagle St
Vernon Blvd & 50 Ave,40,Vernon Blvd & 50 Ave
Center Blvd & Borden Ave,1,Center Blvd & Borden Ave
Jackson Ave & 46 Rd,18,Jackson Ave & 46 Rd
48 Ave & 5 St,19,48 Ave & 5 St
31 St & Thomson Ave,20,31 St & Thomson Ave
46 Ave & 5 St,12,46 Ave & 5 St
45 Rd & 11 St,14,45 Rd & 11 St
44 Dr & Jackson Ave,34,44 Dr & Jackson Ave
9 St & 44 Rd,33,9 St & 44 Rd
21 St & 43 Ave,23,21 St & 43 Ave
Queens Plaza North & Crescent St,10,Queens Plaza North & Crescent St
E 59 St & Madison Ave,9,E 59 St & Madison Ave
3 Ave & E 62 St,2,3 Ave & E 62 St
E 75 St & 3 Ave,9,E 75 St & 3 Ave
5 Ave & E 63 St,19,5 Ave & E 63 St
E 77 St & Park Ave,5,E 77 St & Park Ave
1 Ave & E 78 St,21,1 Ave & E 78 St
1 Ave & E 62 St,5,1 Ave & E 62 St
5 Ave & E 78 St,24,5 Ave & E 78 St
E 81 St & Park Ave,26,E 81 St & Park Ave
E 84 St & Park Ave,5,E 84 St & Park Ave
E 81 St & 3 Ave,7,E 81 St & 3 Ave
E 85 St & 3 Ave,3,E 85 St & 3 Ave
E 84 St & 1 Ave,2,E 84 St & 1 Ave
E 85 St & York Ave,6,E 85 St & York Ave
E 81 St & York Ave,1,E 81 St & York Ave
E 71 St & 2 Ave,4,E 71 St & 2 Ave
E 77 St & 3 Ave,12,E 77 St & 3 Ave
Lexington Ave & E 63 St,12,Lexington Ave & E 63 St
E 72 St & York Ave,9,E 72 St & York Ave
East End Ave & E 86 St,6,East End Ave & E 86 St
W 67 St & Broadway,5,W 67 St & Broadway
W 78 St & Broadway,5,W 78 St & Broadway
Central Park West & W 68 St,3,Central Park West & W 68 St
Columbus Ave & W 72 St,5,Columbus Ave & W 72 St
Riverside Dr & W 72 St,1,Riverside Dr & W 72 St
Amsterdam Ave & W 73 St,8,Amsterdam Ave & W 73 St
Central Park West & W 85 St,5,Central Park West & W 85 St
Riverside Dr & W 82 St,1,Riverside Dr & W 82 St
W 84 St & Columbus Ave,2,W 84 St & Columbus Ave
Amsterdam Ave & W 82 St,1,Amsterdam Ave & W 82 St
W 74 St & Columbus Ave,2,W 74 St & Columbus Ave
Riverside Blvd & W 67 St,1,Riverside Blvd & W 67 St
W 70 St & Amsterdam Ave,1,W 70 St & Amsterdam Ave
W 64 St & West End Ave,3,W 64 St & West End Ave
W 84 St & Broadway,9,W 84 St & Broadway
Park Ave & Marcus Garvey Blvd,5,Park Ave & Marcus Garvey Blvd
Brooklyn Bridge Park - Pier 2,2,Brooklyn Bridge Park - Pier 2
Exchange Place,16,Exchange Place
Paulus Hook,5,Paulus Hook
City Hall,11,City Hall
Grove St PATH,16,Grove St PATH
Warren St,9,Warren St
West Side Light Rail,4,West Side Light Rail
Union St,6,Union St
Liberty Light Rail,5,Liberty Light Rail
McGinley Square,2,McGinley Square
Sip Ave,23,Sip Ave
Riverview Park,3,Riverview Park
North St,7,North St
Newport Pkwy,6,Newport Pkwy
MLK Light Rail,7,MLK Light Rail
Newport PATH,10,Newport PATH
Hamilton Park,9,Hamilton Park
JC Medical Center,6,JC Medical Center
Hilltop,3,Hilltop
Brunswick St,1,Brunswick St
Pershing Field,7,Pershing Field
Newark Ave,8,Newark Ave
Christ Hospital,5,Christ Hospital
Van Vorst Park,9,Van Vorst Park
Central Ave,2,Central Ave
Columbia Park,7,Columbia Park
Bayside Park,4,Bayside Park
5 Corners Library,4,5 Corners Library
47 Ave & 31 St,15,47 Ave & 31 St
Hanson Pl & St Felix St,18,Hanson Pl & St Felix St
E 55 St & 3 Ave,5,E 55 St & 3 Ave
W 13 St & Hudson St,10,W 13 St & Hudson St
Baldwin at Montgomery,3,Baldwin at Montgomery
E 67 St & Park Ave,10,E 67 St & Park Ave
Bond St & Fulton St,11,Bond St & Fulton St
E 48 St & 5 Ave,16,E 48 St & 5 Ave
E 41 St & Madison Ave,4,E 41 St & Madison Ave
PABT Valet,2,PABT Valet
21 St & 41 Ave,8,21 St & 41 Ave
E 80 St & 2 Ave,2,E 80 St & 2 Ave
Monroe St & Tompkins Ave,1,Monroe St & Tompkins Ave
Schermerhorn St & Court St,31,Schermerhorn St & Court St
E 58 St & 1 Ave,1,E 58 St & 1 Ave
University Pl & E 8 St,4,University Pl & E 8 St
